low,high,street,side
1,899,N BYWOOD AVE,B
23001,24989,S CHRYSLER DR,O
38255,39403,CYPRESS ST,O
114,848,SCOTT ST,E
49530,49922,BLOOMSBURY LN,B
36500,36846,MARQUARDT CT,E
4010,4262,TRISTEN AVE,E
29282,29282,BRITTANY DR,E
3400,4299,ROBINA AVE,B
1793,1793,PUG RD,O
818,1091,NORWICH DR,B
14007,14007,MARSHALL AVE,O
31208,31208,GILBERT DR,E
5321,5999,CLEARVIEW DR,O
2110,2150,MILLER AVE,E
2170,2399,AYRSHIRE DR,B
271,332,HOLLY LN,B
6005,6343,PINEMONT DR,O
2401,2899,WESTPOINT ST,O
4672,4717,SCOTS WAY,B
28208,28680,BARBARA LN,B
1770,1770,RUSSELL AVE,E
4368,4668,BUCKEYE ST,E
507,713,STONE ST,O
5501,5599,LEANN CT,O
2200,3200,E M 36,E
37400,39400,CASTLE DR,B
8361,8589,BOULDER SHORES DR,O
714,810,DONNA DR,B
8200,8743,TERRI DR,B
303,483,VIRGINIA CT,O
11447,11447,N SHORE DR,O
3011,3022,ORINOCO LN,B
400,699,W KIRBY ST,B
19221,19221,HOOVER ST,O
1919,1919,HYDE PARK RD,O
7100,7199,BULWER ST,B
8262,8262,E OUTER DR,E
700,2024,TRUMBULL ST,E
19900,20598,WOODBINE ST,E
21660,21660,JASON ST,B
20204,20705,ROSCOMMON ST,B
8131,8131,HARTWELL ST,O
11346,11346,GREINER ST,E
50,50,CRESTWOOD DR,E
25600,26199,MARLOWE PL,B
13984,13984,W OUTER DR,E
1101,1171,TIMBERVIEW TRL,O
3525,3525,S ADAMS RD,O
3596,3596,GRIGG DR,E
14222,14222,VALUSEK DR,E
46498,46622,VILLAGGIO CT,E
7029,7089,CLEMENTS,O
6271,6271,WALNUT LAKE RD,O
4769,5441,CASS ELIZABETH RD,O
28000,28498,THORNY BRAE RD,E
1000,1000,FAIRVIEW AVE,E
230,230,CARRIAGE CIRCLE DR,E
6400,6599,E WASHINGTON ST,B
134,134,N MILFORD RD,E
1219,1399,BEEMER CT,O
1123,1123,E LAKE DR,O
106,230,ABBEY BLVD,B
210,219,MEADOWS CIR,B
15190,15190,BISHOP RD,E
524,524,E FLINT ST,E
13610,13850,HOLTFORTH RD,E
5900,6074,GROESBECK LN,E
2297,4057,S FENTON RD,O
1519,1519,W RIDGEVIEW DR,O
8130,8130,BIG GULLEY RD,E
1255,1295,RATTLESNAKE LN,O
5068,5068,LINDEN RD,E
2305,2305,MASON ST,O
2737,2737,NORBERT ST,O
435,699,E MCCLELLAN ST,O
1700,1999,BAYBERRY LN,B
3474,3510,CLAIRMONT ST,E
1100,1498,HILAND ST,E
4374,4432,ROSEHILL LN,E
5857,5857,HUNTER RD,O
4710,4710,W WEINERT RD,E
9553,9553,N M 18,O
16000,16526,OHARA RD,B
2646,2646,ROSE CITY RD,E
4000,4644,S SAGINAW RD,E
6508,6508,W WACKERLY ST,E
101,116,BITTERSWEET LN,B
1240,1240,FLAMINGO DR,E
1,1105,W OGEMAW CENTER RD,O
2100,2199,16TH ST,B
7100,7199,SCHAFF DR,B
6600,6999,MCELDOWNEY RD,B
1100,1198,E BROWN RD,E
3500,3601,IDLEWILD DR,B
3002,3998,W LAGRANT RD,B
2323,2323,FEUERSTEIN RD,O
6901,7399,SHIPMAN RD,O
6000,6248,PORTER AVE,E
7100,7499,WESTBROOK RD,B
